ano_letivo__ano,curso_campus_id,id,periodo_letivo,situacao_id
2013,411,337113871893,1,6
2012,420,278875370677,1,9
2015,420,472767646221,2,9
2014,420,406016978009,1,1
2014,420,406337613189,1,6
2014,420,405793927449,1,9
2012,420,309731627521,2,10
2012,411,274642986301,1,6
2016,420,549151310493,2,1
2016,420,548632717941,2,1
2012,420,309673076749,2,9
2016,420,551457095657,2,1
2016,420,547737727569,2,1
2013,420,338995860993,1,9
2013,441,339821148065,2,1
2013,441,341173392085,2,1
2012,420,277392084453,1,9
2016,420,550216376917,2,1
2014,420,406371070773,1,9
2013,441,339690105861,2,9
2014,441,414194569165,2,9
2013,441,338931733957,2,9
2012,420,269819517941,1,10
2012,441,276544492325,1,9
2014,420,406538358693,1,3
2014,441,413737315517,2,9
2013,420,335552517973,1,9
2017,441,561452548877,1,1
2014,420,405049496205,1,6
2012,420,277037991689,1,9
2016,420,545978416277,2,1
2015,411,462563083101,1,1
2015,420,463656030845,1,3
2016,420,561265744033,2,1
2014,420,404589454425,1,3
2015,420,472190502897,2,1
2017,441,561516675913,1,1
2016,420,551038875857,2,1
2012,411,306843122769,2,9
2013,420,336377805045,1,1
2013,420,336375016913,1,3
2012,411,268350172377,1,6
2016,420,545654992965,2,1
2015,420,472714671713,2,10
2014,420,406014189877,1,9
2016,420,546918016761,2,1
2016,420,540714423061,2,1
2016,420,551931078097,2,1
2013,441,339271886061,2,9
2013,420,336617584397,1,6
2016,420,540747880645,2,1
2015,420,463343760061,1,1
2012,441,276605831229,1,10
2014,420,407346916973,1,6
2012,499,313016047017,2,9
2011,83,234677902213,2,19
2012,441,272164336953,1,1
2016,420,549156886757,2,1
2014,420,441052644721,2,6
2016,420,551186646853,2,1
2016,420,547751668229,2,1
2012,441,276951559597,1,1
2012,441,278722023417,1,1
2016,420,548956141253,2,1
2016,420,551195011249,2,1
2015,420,467093797601,1,1
2016,420,550102063505,2,1
2016,420,544751638197,2,1
2014,420,407620153909,1,9
2014,441,413377646489,2,1
2012,420,309675864881,2,9
2012,420,278733175945,1,10
2014,420,406970519153,1,3
2014,420,406688917821,1,3
2014,420,441328669789,2,9
2014,411,401472322849,1,6
2014,420,407207510373,1,6
2012,441,268969137681,1,9
2016,411,509518014113,1,1
2012,499,312003955101,2,9
2017,441,558282442793,1,1
2015,499,469092888245,2,9
2015,420,471390309013,2,9
2012,441,277450635225,1,1
2012,441,268021172801,1,9
2014,420,405601546341,1,3
2015,420,471401461541,2,9
2016,411,508280083505,1,1
2014,420,407634094569,1,9
2014,420,441376068033,2,9
2012,420,276831669921,1,6
2014,420,405869207013,1,9
2013,420,336631525057,1,6
2014,420,405450987213,1,3
2016,420,547294414581,2,1
2016,420,548699633109,2,1
2015,420,471783435625,2,9
2015,411,473350365809,2,9
2015,411,462708065965,1,1
2016,420,551730332593,2,1
2012,441,278220159657,1,9
2016,420,546647567957,2,1
2013,420,338036743585,1,6
2014,499,416202024205,2,1
2012,441,276985017181,1,1
2017,411,558290807189,1,1
2015,420,471395885277,2,1
2008,83,59822991965,2,9
2013,420,336645465717,1,3
2012,420,309539246413,2,3
2014,441,414180628505,2,9
2013,420,336648253849,1,9
2016,420,551911561173,2,1
2012,420,277375355661,1,9
2013,420,380789959673,2,6
2016,420,549683843705,2,1
2014,420,406766985517,1,6
2016,420,539735788729,2,1
2014,420,406619214521,1,3
2013,411,376434897489,2,9
2016,420,539738576861,2,1
2015,420,471259266809,2,1
2016,420,542289717641,2,1
2016,420,550015631413,2,1
2014,420,405353402593,1,6
2013,420,337791387969,1,9
2014,420,404611759481,1,6
2014,411,419971578669,2,6
2014,441,413751256177,2,9
2016,420,550168978673,2,1
2016,420,540616838441,2,1
2015,420,471736037381,2,9
2014,420,405261394237,1,3
2010,83,71733891869,2,10
2014,441,414743831169,2,9
2016,420,547949625601,2,1
2013,441,339283038589,2,9
2014,420,441866779265,2,3
2014,441,413232663625,2,1
2016,420,540739516249,2,1
2014,420,407054163113,1,9
2012,441,272853005557,1,9
2014,441,414702009189,2,9
2014,420,442117711145,2,3
2013,420,338056260509,1,9
2017,411,555748030805,1,1
2012,411,306826393977,2,6
2017,411,554819582849,1,1
2012,420,277188550817,1,6
2015,420,472697942921,2,1
2012,420,277997109097,1,9
2014,420,405411953365,1,3
2014,420,442664185017,2,3
2015,420,472795527541,2,9
2014,420,405437046553,1,3
2016,420,547288838317,2,1
2014,420,441590754197,2,3
2016,420,547224711281,2,1
2015,420,472764858089,2,1
2014,420,405470504137,1,9
2016,420,548710785637,2,1
2016,420,539861254669,2,1
2013,420,336380593177,1,3
2013,420,337440083337,1,9
2015,420,471262054941,2,1
2015,420,471170046585,2,9
2016,499,516806191161,2,1
2013,441,342230094113,2,9
2014,411,419154655993,2,1
2016,420,545760941981,2,1
2016,420,539741364993,2,1
2013,441,339174301441,2,20
2012,499,312589462821,2,9
2016,420,548128066049,2,1
2016,420,550180131201,2,1
2012,420,309734415653,2,9
2017,441,559570559777,1,1
2012,420,276853974977,1,6
2011,83,237655627189,2,10
2013,420,379457232577,2,6
2013,411,332209547705,1,6
2013,420,339007013521,1,9
2012,420,267374326177,1,6
2014,420,405977944161,1,6
2009,83,169059215593,2,9
2015,441,468936752853,2,1
2012,441,278284286693,1,9
2014,420,441033127797,2,3
2014,420,448789711021,2,9
2014,420,441080526041,2,1
2013,420,336625948793,1,10
2016,420,547567651517,2,1
2014,420,406293003077,1,6
2012,441,268818578553,1,9
2015,411,462724794757,1,9
2014,420,406178689665,1,3
2012,420,268115969289,1,9
2013,420,380566909113,2,9
2014,420,405785563053,1,9
2015,411,462632786401,1,1
2016,420,549162463021,2,1
2016,420,550771215185,2,1
2015,420,471543656273,2,10
2012,420,269501670893,1,9
2015,499,456448709625,1,1
2016,420,548147582973,2,1
2017,441,561527828441,1,1
2014,420,409387829597,1,6
2013,420,334827603653,1,6
2014,420,405562512493,1,9
2012,441,276165306373,1,9
2013,441,340225427205,2,10
2016,420,547283262053,2,1
2016,411,510527317897,1,1
2013,441,347694832833,2,9
2013,411,373314977781,2,6
2014,441,414587695777,2,9
2012,420,273856733077,1,9
2016,420,549193132473,2,1
2014,420,441317517261,2,1
2014,441,413885086513,2,10
2016,420,548972870045,2,1
2014,420,407165688393,1,6
2013,411,332884275649,1,9
2010,83,206172040645,2,9
2014,420,448781346625,2,6
2014,420,442120499277,2,9
2016,420,549951504377,2,1
2012,441,276006382849,1,10
2014,420,404910089605,1,9
2014,420,442173473785,2,1
2012,441,271598346157,1,9
2015,420,463664395241,1,1
2014,420,442298939725,2,9
2012,420,273895766925,1,6
2016,420,551546315881,2,1
2014,441,413932484757,2,9
2016,420,551468248185,2,1
2016,420,548967293781,2,1
2015,420,463653242713,1,6
2013,420,337459600261,1,9
2014,420,405966791633,1,6
2012,420,274885553785,1,9
2013,420,335627797537,1,6
2014,420,406872934533,1,9
2016,420,551041663989,2,1
2016,420,551476612581,2,1
2012,420,271007262173,1,6
2013,420,338354590633,1,6
2016,411,538896560997,2,1
2014,420,441696703213,2,9
2016,420,540700482401,2,1
2014,420,404857115097,1,6
2013,420,337247702229,1,6
2012,420,310406355465,2,6
2015,420,472168197841,2,9
2013,420,336483754061,1,9
2016,420,549971021301,2,1
2014,420,441554508481,2,9
2016,420,551783307101,2,1
2014,420,406864570137,1,3
2016,420,550988689481,2,1
2008,83,31473265789,2,9
2013,420,337230973437,1,9
2016,420,551200587513,2,1
2012,420,275537976673,1,6
2013,441,338956827145,2,10
2014,420,406298579341,1,3
2016,420,550157826145,2,20
2012,420,269225645825,1,9
2016,420,551925501833,2,1
2013,420,379565969725,2,9
2014,420,404915665869,1,6
2017,441,558388391809,1,1
2016,420,550838130353,2,1
2013,420,338039531717,1,9
2012,420,267775817185,1,9
2014,420,441311940997,2,9
2016,420,550670842433,2,1
2016,420,546653144221,2,1
2014,420,442025702789,2,6
2012,420,268946832625,1,3
2014,420,441038704061,2,9
2014,420,406945425965,1,9
2016,420,550194071861,2,1
2014,420,441303576601,2,10
2015,420,474072491997,2,9
2012,441,277709931501,1,9
2016,420,540733939985,2,1
2015,420,477312301381,2,1
2015,411,462646727061,1,1
2013,420,338530242949,1,6
2016,420,551139248609,2,1
2016,420,550734969469,2,1
2016,420,549884589209,2,1
2012,411,307043868273,2,6
2013,420,337964252153,1,6
2015,420,472112435201,2,1
2012,420,267708902017,1,10
2016,411,508324693617,1,1
2012,441,275986865925,1,9
2013,420,344800751817,1,3
2014,420,448786922889,2,9
2013,420,334852696841,1,9
2014,411,442114923013,2,6
2013,420,338413141405,1,9
2014,420,407176840921,1,3
2008,83,127203778009,2,9
2012,441,276014747245,1,1
2015,499,469123557697,2,10
2008,83,14284432009,2,10
2012,420,309542034545,2,9
2017,441,560738787085,1,1
2016,420,548925471801,2,1
2016,420,548833463445,2,1
2016,420,550592774737,2,1
2014,420,407221451033,1,6
2012,420,268994230869,1,9
2014,441,418281970677,2,9
2011,83,234783851229,2,4
2013,420,337225397173,1,6
2013,420,343069321845,1,6
2016,420,550921774313,2,1
2016,411,519100823797,2,1
2012,420,269289772861,1,9
2013,420,379066894097,2,9
2017,441,562679326957,1,1
2014,441,413754044309,2,1
2016,420,549948716245,2,1
2016,420,550960808161,2,1
2015,420,463544505565,1,1
2012,420,274169003861,1,3
2014,420,406368282641,1,6
2014,420,407589484457,1,9
2016,420,551521222693,2,1
2013,420,378581759129,2,9
2016,420,547419880521,2,1
2015,420,472115223333,2,9
2014,420,406917544645,1,3
2013,441,341254247913,2,9
2016,411,507658330069,1,99
2015,411,462641150797,1,9
2013,411,331699319549,1,9
2015,420,472728612373,2,9
2016,420,545228408769,2,1
2014,420,441289635941,2,6
2012,420,311181456161,2,9
2014,420,441543355953,2,9
2015,411,462705277833,1,1
2012,411,307598706541,2,6
2014,411,392226877137,1,3
2014,420,405043919941,1,3
2016,420,550035148337,2,1
2015,420,471738825513,2,9
2015,420,470944207893,2,1
2013,420,335636161933,1,6
2016,420,544347359057,2,1
2013,420,379412622465,2,3
2015,420,471867079585,2,1
2013,420,339046047369,1,9
2013,420,336455872741,1,9
2017,411,560674660049,1,1
2013,420,339051623633,1,6
2012,441,275549129201,1,10
2012,420,275011019725,1,9
2015,420,473623602745,2,9
2008,83,125734432445,2,19
2013,420,379568757857,2,9
2014,420,407684280945,1,3
2014,420,405855266353,1,10
2011,83,196742578221,2,9
2014,420,406672189029,1,3
2016,420,551984052605,2,1
2014,420,441702279477,2,6
2013,420,380078986013,2,3
2014,420,406850629477,1,3
2013,499,375336373481,2,1
2016,420,545624323513,2,1
2015,420,477655241617,2,1
2015,499,469053854397,2,1
2015,420,472017638713,2,1
2014,420,407675916549,1,9
2012,420,274464545853,1,6
2015,420,467372610801,1,9
2012,411,276759178489,1,9
2016,420,550260987029,2,20
2015,411,462582600025,1,1
2013,411,376432109357,2,9
2017,411,555165311217,1,1
2015,411,462546354309,1,9
2012,441,277643016333,1,19
2014,420,441682762553,2,9
2014,411,420021765045,2,1
2016,411,519544136785,2,1
2014,420,405537419305,1,3
2016,411,510334936789,1,1
2013,420,380129172389,2,9
2014,420,441877931793,2,9
2016,420,545844585941,2,1
2014,420,407121078281,1,9
2016,420,542002540045,2,1
2012,420,309767873237,2,9
2014,411,392243605929,1,9
2016,411,508910201337,1,99
2016,420,549708936893,2,1
2017,441,559612381757,1,1
2014,420,406858993873,1,3
2016,420,549212649397,2,1
2017,411,554256380185,1,1
2012,420,277353050605,1,6
2014,499,416277303769,2,10
2014,420,405961215369,1,9
2016,411,512713213385,1,1
2016,420,549201496869,2,1
2014,420,405964003501,1,6
2014,420,441830533549,2,3
2015,420,464071462513,1,1
2014,420,405526266777,1,9
2014,420,407218662901,1,9
2014,420,407171264657,1,9
2016,420,545055544585,2,1
2012,441,320741960789,2,19
2014,420,407148959601,1,9
2013,499,336001407225,1,9
2015,411,462551930573,1,9
2014,420,406187054061,1,3
2012,420,277966439645,1,6
2012,411,278772209793,1,3
2016,411,538893772865,2,1
2012,441,276870703769,1,1
2012,420,275013807857,1,6
2015,420,476199836713,2,1
2015,420,474019517489,2,1
2014,420,407349705105,1,9
2015,420,472129163993,2,9
2015,420,471998121789,2,9
2016,420,552848373525,2,1
2013,420,339093445613,1,9
2012,420,271681990117,1,9
2016,411,519440975901,2,1
2015,420,468144923365,1,1
2016,420,547333448429,2,1
2013,420,379331766637,2,9
2012,411,267742359601,1,9
2012,420,274634621905,1,9
2012,420,267728418941,1,9
2016,420,551395756753,2,1
2013,411,372985978205,2,6
2015,411,462585388157,1,10
2015,420,472159833445,2,9
2010,83,15257490077,2,10
2016,420,546929169289,2,1
2014,420,407592272589,1,6
2012,420,277595618089,1,10
2014,420,441066585381,2,1
2014,441,414186204769,2,9
2012,420,271974743977,1,10
2013,499,368775898885,2,9
2014,441,413793078157,2,99
2013,420,379398681805,2,9
2015,420,471875443981,2,1
2013,420,335546941709,1,6
2016,420,551116943553,2,10
2013,411,332354530569,1,9
2013,411,381684950045,2,6
2013,420,336667770773,1,9
2012,499,312556005237,2,10
2012,420,309798542689,2,9
2014,420,407714950397,1,6
2015,420,472137528389,2,9
2016,420,549926411189,2,1
2013,420,381107806721,2,6
2012,420,310124754133,2,20
2012,420,276884644429,1,6
2013,420,336408474497,1,9
2013,420,336411262629,1,1
2016,420,549689419969,2,1
2014,411,419756892505,2,3
2011,83,233629564581,2,10
2015,420,473815983853,2,1
2014,420,406898027721,1,3
2014,420,407196357845,1,9
2017,411,560744363349,1,1
2014,411,419160232257,2,6
2016,411,519452128429,2,1
2012,441,278147668225,1,9
2013,420,380801112201,2,9
2013,411,332192818913,1,6
2013,420,335630585669,1,3
2013,420,380168206237,2,3
2013,420,380173782501,2,10
2013,420,380170994369,2,20
2011,83,165166983321,2,9
2013,441,339333224965,2,9
2016,499,516853589405,2,10
2010,83,204343026053,2,5
2014,441,413935272889,2,9
2015,420,470946996025,2,9
2014,441,414741043037,2,1
2014,420,406973307285,1,9
2013,420,382744440205,2,3
2013,420,338524666685,1,9
2012,420,277021262897,1,9
2012,441,269348323633,1,10
2013,420,336809965505,1,3
2016,420,551917137437,2,1
2014,441,414205721693,2,9
2014,420,406189842193,1,3
2014,420,442011762129,2,3
2011,83,165164195189,2,19
2013,420,378977673873,2,6
2016,420,550040724601,2,1
2014,420,405802291845,1,6
2012,441,316395263001,2,9
2016,420,549929199321,2,1
2014,420,405807868109,1,9
2012,420,277726660293,1,6
2012,441,276697839585,1,9
2012,441,275922738889,1,1
2012,441,277687626445,1,9
2016,420,559397695593,2,1
2012,420,273279589753,1,3
2012,420,267806486637,1,10
2014,441,414208509825,2,9
2017,411,554167159961,1,1
2014,420,442061948505,2,9
2016,420,540697694269,2,1
2012,420,275780544157,1,6
2014,420,441863991133,2,6
2013,420,337445659601,1,3
2014,420,406145232081,1,6
2014,420,405484444797,1,1
2012,441,277974804041,1,9
2012,420,267826003561,1,9
2015,499,469117981433,2,10
2015,420,473626390877,2,1
2014,420,405531843041,1,9
2012,420,278264769769,1,6
2012,420,275735934045,1,10
2014,420,405459351609,1,9
2015,420,464082615041,1,9
2016,420,547403151729,2,1
2014,420,404617335745,1,6
